key,mean,std,max,min,25,50,75,game,model,target_update,learning_rate,annealing,optimizer,loss_function,weight_decay
MountainCar_DDQN_GS_EpsilonGreedy_notes_cpu,-7668.29,6805.62,-583.0,-20001.0,-12127.5,-4144.0,-2168.0,MountainCar-v0,DDQN_GS,0,0.01,True,RMSprop,Huber,1.0
MountainCar_DDQN_GS_EpsilonGreedy_notes_cpu,-5017.49,5763.74,-307.0,-20001.0,-6043.75,-2507.5,-1059.25,MountainCar-v0,DDQN_GS,0,0.001,True,RMSprop,Huber,0.1
MountainCar_DQN_GS_EpsilonGreedy_notes_cpu,-198.51,72.57,-87.0,-692.0,-223.0,-195.0,-141.0,MountainCar-v0,DQN_GS,0,0.001,True,RMSprop,Huber,0.1
MountainCar_DDQN_GS_EpsilonGreedy_notes_cpu,-2137.92,1990.21,-358.0,-14589.0,-2718.25,-1606.0,-956.0,MountainCar-v0,DDQN_GS,0,0.01,True,RMSprop,Huber,0.5
MountainCar_DQN_GS_EpsilonGreedy_notes_cpu,-1461.33,1102.82,-187.0,-8273.0,-1912.25,-1171.0,-646.25,MountainCar-v0,DQN_GS,0,0.01,True,RMSprop,Huber,0.1
MountainCar_DDQN_GS_EpsilonGreedy_notes_cpu,-720.04,335.26,-204.0,-3496.0,-817.5,-650.0,-520.5,MountainCar-v0,DDQN_GS,0,0.01,True,RMSprop,Huber,0.5
MountainCar_DQN_GS_EpsilonGreedy_notes_cpu,-1799.61,1188.13,-152.0,-6791.0,-2395.0,-1508.5,-931.5,MountainCar-v0,DQN_GS,0,0.001,True,RMSprop,Huber,1.0
MountainCar_DDQN_GS_EpsilonGreedy_notes_cpu,-316.64,99.96,-157.0,-826.0,-361.0,-285.0,-253.0,MountainCar-v0,DDQN_GS,0,0.001,True,RMSprop,Huber,1.0
MountainCar_DDQN_GS_EpsilonGreedy_notes_cpu,-966.51,707.24,-261.0,-8113.0,-1077.5,-779.0,-581.0,MountainCar-v0,DDQN_GS,0,0.01,True,RMSprop,Huber,0.1
MountainCar_DQN_GS_EpsilonGreedy_notes_cpu,-3201.39,3460.1,-197.0,-16911.0,-4400.0,-1877.0,-869.0,MountainCar-v0,DQN_GS,0,0.001,True,RMSprop,Huber,0.5
MountainCar_DQN_GS_EpsilonGreedy_notes_cpu,-183.64,54.77,-86.0,-531.0,-206.0,-181.0,-151.0,MountainCar-v0,DQN_GS,0,0.01,True,RMSprop,Huber,0.1
MountainCar_DDQN_GS_EpsilonGreedy_notes_cpu,-20001.0,0.0,-20001.0,-20001.0,-20001.0,-20001.0,-20001.0,MountainCar-v0,DDQN_GS,0,0.001,True,RMSprop,Huber,0.5
MountainCar_DDQN_GS_EpsilonGreedy_notes_cpu,-482.91,296.52,-122.0,-2628.0,-569.0,-403.0,-298.0,MountainCar-v0,DDQN_GS,0,0.001,True,RMSprop,Huber,0.5
MountainCar_DDQN_GS_EpsilonGreedy_notes_cpu,-174.8,42.88,-93.0,-367.0,-205.0,-179.0,-131.0,MountainCar-v0,DDQN_GS,0,0.001,True,RMSprop,Huber,1.0
MountainCar_DQN_GS_EpsilonGreedy_notes_cpu,-2538.47,2398.58,-124.0,-12525.0,-3462.75,-1740.5,-822.0,MountainCar-v0,DQN_GS,0,0.01,True,RMSprop,Huber,0.5
MountainCar_DQN_GS_EpsilonGreedy_notes_cpu,-3884.62,3503.29,-337.0,-13554.0,-6191.5,-2476.5,-1387.25,MountainCar-v0,DQN_GS,0,0.01,True,RMSprop,Huber,1.0
MountainCar_DDQN_GS_EpsilonGreedy_notes_cpu,-3717.56,3332.59,-218.0,-16213.0,-4850.0,-2507.0,-1675.0,MountainCar-v0,DDQN_GS,0,0.01,True,RMSprop,Huber,0.1
MountainCar_DQN_GS_EpsilonGreedy_notes_cpu,-2916.6,3270.47,-302.0,-20001.0,-3256.25,-1877.0,-941.5,MountainCar-v0,DQN_GS,0,0.01,True,RMSprop,Huber,1.0
MountainCar_DDQN_GS_EpsilonGreedy_notes_cpu,-157.31,43.98,-89.0,-367.0,-195.0,-150.0,-117.0,MountainCar-v0,DDQN_GS,0,0.001,True,RMSprop,Huber,0.1
MountainCar_DQN_GS_EpsilonGreedy_notes_cpu,-3193.36,2707.79,-250.0,-14461.0,-4431.0,-2747.0,-1171.0,MountainCar-v0,DQN_GS,0,0.001,True,RMSprop,Huber,1.0
MountainCar_DDQN_GS_EpsilonGreedy_notes_cpu,-8451.03,6718.64,-689.0,-20001.0,-14178.0,-5621.0,-2866.25,MountainCar-v0,DDQN_GS,0,0.01,True,RMSprop,Huber,1.0
MountainCar_DQN_GS_EpsilonGreedy_notes_cpu,-1189.1,895.58,-116.0,-5973.0,-1560.5,-912.5,-583.0,MountainCar-v0,DQN_GS,0,0.001,True,RMSprop,Huber,0.1
MountainCar_DQN_GS_EpsilonGreedy_notes_cpu,-1692.36,1668.82,-302.0,-15960.0,-2063.0,-1267.0,-723.0,MountainCar-v0,DQN_GS,0,0.01,True,RMSprop,Huber,0.5
MountainCar_DQN_GS_EpsilonGreedy_notes_cpu,-1540.45,1345.71,-144.0,-9615.0,-1904.25,-1158.0,-706.5,MountainCar-v0,DQN_GS,0,0.001,True,RMSprop,Huber,0.5
Acrobot_DDQN_GS_EpsilonGreedy_notes_cpu,-887.81,1418.94,-70.0,-13324.0,-1016.0,-243.0,-145.0,Acrobot-v1,DDQN_GS,0,0.01,True,RMSprop,Huber,0.1
Acrobot_DDQN_GS_EpsilonGreedy_notes_cpu,-130.94,45.62,-61.0,-608.0,-146.0,-122.0,-102.0,Acrobot-v1,DDQN_GS,0,0.01,True,RMSprop,Huber,0.1
Acrobot_DQN_GS_EpsilonGreedy_notes_cpu,-1117.66,660.34,-147.0,-4369.0,-1496.5,-969.5,-631.25,Acrobot-v1,DQN_GS,0,0.01,True,RMSprop,Huber,0.5
Acrobot_DDQN_GS_EpsilonGreedy_notes_cpu,-193.88,184.78,-70.0,-3561.0,-212.0,-155.0,-121.0,Acrobot-v1,DDQN_GS,0,0.001,True,RMSprop,Huber,0.1
Acrobot_DQN_GS_EpsilonGreedy_notes_cpu,-636.39,362.94,-111.0,-3160.0,-788.0,-549.0,-390.75,Acrobot-v1,DQN_GS,0,0.01,True,RMSprop,Huber,0.5
Acrobot_DQN_GS_EpsilonGreedy_notes_cpu,-713.85,378.91,-142.0,-2215.0,-939.0,-638.0,-435.0,Acrobot-v1,DQN_GS,0,0.001,True,RMSprop,Huber,0.5
Acrobot_DQN_GS_EpsilonGreedy_notes_cpu,-1468.54,831.36,-212.0,-3885.0,-1934.5,-1315.0,-873.5,Acrobot-v1,DQN_GS,0,0.01,True,RMSprop,Huber,1.0
Acrobot_DQN_GS_EpsilonGreedy_notes_cpu,-998.34,442.93,-186.0,-2291.0,-1283.0,-943.5,-688.5,Acrobot-v1,DQN_GS,0,0.001,True,RMSprop,Huber,1.0
Acrobot_DDQN_GS_EpsilonGreedy_notes_cpu,-239.53,340.89,-67.0,-8865.0,-243.0,-164.0,-127.0,Acrobot-v1,DDQN_GS,0,0.001,True,RMSprop,Huber,1.0
Acrobot_DDQN_GS_EpsilonGreedy_notes_cpu,-181.91,99.73,-64.0,-1271.0,-207.0,-157.5,-127.0,Acrobot-v1,DDQN_GS,0,0.01,True,RMSprop,Huber,0.5
